SKU,Tamanho_Pedido,Loja,Data_da_Venda,Marca,Preco
HL1008,03,Rio de Janeiro,20100120,Philco,2000
HL1005,02,Nova Iguacu,20100120,Canon,1500
HL1009,02,Salvador,20100120,Motorola,1400
HL1015,02,Campinas,20100121,Sony,700
HL1020,02,Rio de Janeiro,20100121,Motorola,1500
HL1008,02,Sao Paulo,20100121,Philco,2000
HL1018,05,Curitiba,20100121,Xiaomi,1200
HL1015,04,Guarulhos,20100121,Sony,700
HL1008,03,Sao Paulo,20100122,Philco,2000
HL1015,03,Sao Paulo,20100122,Sony,700
HL1015,04,Sao Paulo,20100122,Sony,700
HL1024,03,Rio de Janeiro,20100122,Acer,2400
HL1008,03,Sao Paulo,20100122,Philco,2000
HL1024,03,Guarulhos,20100122,Acer,2400
HL1018,01,Rio de Janeiro,20100123,Xiaomi,1200
HL1020,04,Sao Paulo,20100123,Motorola,1500
HL1005,03,Rio de Janeiro,20100123,Canon,1500
HL1005,03,Fortaleza,20100124,Canon,1500
HL1013,03,Fortaleza,20100124,Nikon,1550
HL1013,01,Rio de Janeiro,20100124,Nikon,1550
HL1015,05,Campinas,20100124,Sony,700
HL1013,03,Curitiba,20100125,Nikon,1550
HL1005,01,Guarulhos,20100125,Canon,1500
HL1009,03,Belo Horizonte,20100125,Motorola,1400
HL1005,05,Salvador,20100126,Canon,1500
HL1009,01,Porto Alegre,20100126,Motorola,1400
HL1008,03,Belo Horizonte,20100126,Philco,2000
HL1005,03,Sao Paulo,20100126,Canon,1500
HL1024,05,Nova Iguacu,20100126,Acer,2400
HL1015,01,Sao Paulo,20100126,Sony,700
HL1008,02,Curitiba,20100127,Philco,2000
HL1013,03,Goiania,20100128,Nikon,1550
HL1013,05,Nova Iguacu,20100128,Nikon,1550
HL1008,02,Rio de Janeiro,20100128,Philco,2000
HL1018,04,Salvador,20100128,Xiaomi,1200
HL1024,04,Fortaleza,20100129,Acer,2400
HL1020,04,Goiania,20100129,Motorola,1500
HL1015,05,Salvador,20100129,Sony,700
HL1009,05,Recife,20100129,Motorola,1400
HL1008,05,Rio de Janeiro,20100130,Philco,2000
HL1005,02,Fortaleza,20100130,Canon,1500
HL1005,01,Sao Paulo,20100130,Canon,1500
HL1015,03,Rio de Janeiro,20100130,Sony,700
HL1009,05,Belo Horizonte,20100131,Motorola,1400
HL1009,04,Guarulhos,20100131,Motorola,1400
HL1009,01,Salvador,20100131,Motorola,1400
HL1013,02,Guarulhos,20100131,Nikon,1550
HL1008,01,Guarulhos,20100131,Philco,2000
HL1015,01,Niteroi,20100131,Sony,700
HL1018,04,Guarulhos,20100131,Xiaomi,1200
HL1009,02,Curitiba,20100201,Motorola,1400
HL1013,04,Sao Paulo,20100201,Nikon,1550
HL1024,04,Belo Horizonte,20100201,Acer,2400
HL1008,04,Belo Horizonte,20100201,Philco,2000
HL1020,01,Porto Alegre,20100201,Motorola,1500
HL1005,02,Recife,20100201,Canon,1500
HL1015,03,Sao Paulo,20100201,Sony,700
HL1005,03,Curitiba,20100201,Canon,1500
HL1007,04,Recife,20100201,Dell,2300
HL1005,05,Salvador,20100201,Canon,1500
HL1008,04,Fortaleza,20100202,Philco,2000
HL1005,05,Sao Paulo,20100202,Canon,1500
HL1018,01,Guarulhos,20100202,Xiaomi,1200
HL1012,05,Recife,20100202,Dell,5500
HL1008,04,Belo Horizonte,20100203,Philco,2000
HL1008,05,Sao Paulo,20100203,Philco,2000
HL1009,01,Fortaleza,20100203,Motorola,1400
HL1015,01,Salvador,20100204,Sony,700
HL1015,02,Goiania,20100204,Sony,700
HL1015,04,Recife,20100204,Sony,700
HL1018,05,Sao Paulo,20100205,Xiaomi,1200
HL1024,03,Recife,20100205,Acer,2400
HL1013,05,Salvador,20100205,Nikon,1550
HL1013,04,Recife,20100205,Nikon,1550
HL1018,05,Sao Paulo,20100206,Xiaomi,1200
HL1005,02,Fortaleza,20100206,Canon,1500
HL1009,04,Sao Paulo,20100206,Motorola,1400
HL1015,03,Porto Alegre,20100206,Sony,700
HL1005,05,Sao Paulo,20100206,Canon,1500
HL1015,02,Sao Paulo,20100207,Sony,700
HL1013,01,Goiania,20100207,Nikon,1550
HL1015,03,Sao Paulo,20100207,Sony,700
HL1024,03,Curitiba,20100207,Acer,2400
HL1009,02,Sao Paulo,20100207,Motorola,1400
HL1005,04,Curitiba,20100207,Canon,1500
HL1015,04,Sao Paulo,20100208,Sony,700
HL1018,01,Sao Paulo,20100208,Xiaomi,1200
HL1008,04,Curitiba,20100208,Philco,2000
HL1020,03,Salvador,20100208,Motorola,1500
HL1015,04,Salvador,20100208,Sony,700
HL1013,04,Belo Horizonte,20100209,Nikon,1550
HL1018,03,Sao Paulo,20100209,Xiaomi,1200
HL1018,05,Curitiba,20100209,Xiaomi,1200
HL1009,02,Campinas,20100209,Motorola,1400
HL1015,04,Recife,20100209,Sony,700
HL1005,02,Salvador,20100209,Canon,1500
HL1008,05,Recife,20100209,Philco,2000
HL1009,04,Recife,20100209,Motorola,1400
HL1008,05,Porto Alegre,20100209,Philco,2000
HL1009,02,Sao Paulo,20100210,Motorola,1400
HL1015,03,Sao Paulo,20100210,Sony,700
HL1005,03,Sao Paulo,20100210,Canon,1500
HL1015,04,Sao Paulo,20100210,Sony,700
HL1013,03,Sao Paulo,20100210,Nikon,1550
HL1015,04,Recife,20100210,Sony,700
HL1015,01,Fortaleza,20100210,Sony,700
HL1015,03,Campinas,20100211,Sony,700
HL1018,03,Guarulhos,20100211,Xiaomi,1200
HL1015,01,Nova Iguacu,20100211,Sony,700
HL1015,02,Niteroi,20100211,Sony,700
HL1015,04,Belo Horizonte,20100211,Sony,700
HL1005,03,Porto Alegre,20100211,Canon,1500
HL1005,02,Sao Paulo,20100211,Canon,1500
HL1009,04,Curitiba,20100211,Motorola,1400
HL1009,04,Sao Paulo,20100211,Motorola,1400
HL1018,02,Goiania,20100212,Xiaomi,1200
HL1018,05,Curitiba,20100212,Xiaomi,1200
HL1018,02,Porto Alegre,20100212,Xiaomi,1200
HL1009,02,Porto Alegre,20100212,Motorola,1400
HL1015,01,Niteroi,20100212,Sony,700
HL1013,05,Fortaleza,20100212,Nikon,1550
HL1018,05,Nova Iguacu,20100212,Xiaomi,1200
HL1024,02,Sao Paulo,20100213,Acer,2400
HL1009,02,Salvador,20100213,Motorola,1400
HL1009,02,Rio de Janeiro,20100213,Motorola,1400
HL1008,03,Recife,20100214,Philco,2000
HL1009,02,Sao Paulo,20100214,Motorola,1400
HL1015,01,Porto Alegre,20100214,Sony,700
HL1015,05,Sao Paulo,20100214,Sony,700
HL1020,01,Fortaleza,20100215,Motorola,1500
HL1008,05,Porto Alegre,20100215,Philco,2000
HL1020,03,Sao Paulo,20100215,Motorola,1500
HL1009,03,Belo Horizonte,20100215,Motorola,1400
HL1008,01,Belo Horizonte,20100215,Philco,2000
HL1005,02,Salvador,20100216,Canon,1500
HL1005,01,Recife,20100216,Canon,1500
HL1013,01,Campinas,20100216,Nikon,1550
HL1015,04,Salvador,20100216,Sony,700
HL1015,05,Recife,20100216,Sony,700
HL1009,03,Nova Iguacu,20100217,Motorola,1400
HL1015,04,Fortaleza,20100217,Sony,700
HL1009,05,Guarulhos,20100217,Motorola,1400
HL1005,03,Rio de Janeiro,20100217,Canon,1500
HL1009,05,Rio de Janeiro,20100217,Motorola,1400
HL1009,05,Rio de Janeiro,20100217,Motorola,1400
HL1018,03,Guarulhos,20100217,Xiaomi,1200
HL1005,05,Sao Paulo,20100218,Canon,1500
HL1015,01,Rio de Janeiro,20100218,Sony,700
HL1018,01,Sao Paulo,20100218,Xiaomi,1200
HL1005,02,Sao Paulo,20100218,Canon,1500
HL1008,03,Recife,20100219,Philco,2000
HL1008,04,Belo Horizonte,20100219,Philco,2000
HL1013,05,Sao Paulo,20100219,Nikon,1550
HL1008,05,Guarulhos,20100219,Philco,2000
HL1005,04,Rio de Janeiro,20100219,Canon,1500
HL1015,04,Rio de Janeiro,20100220,Sony,700
HL1009,05,Sao Paulo,20100220,Motorola,1400
HL1005,01,Curitiba,20100220,Canon,1500
HL1015,03,Recife,20100220,Sony,700
HL1020,05,Recife,20100220,Motorola,1500
HL1013,05,Fortaleza,20100220,Nikon,1550
HL1013,04,Sao Paulo,20100221,Nikon,1550
HL1024,04,Salvador,20100221,Acer,2400
HL1009,04,Belo Horizonte,20100221,Motorola,1400
HL1009,04,Sao Paulo,20100222,Motorola,1400
HL1015,05,Curitiba,20100222,Sony,700
HL1005,02,Belo Horizonte,20100222,Canon,1500
HL1005,02,Sao Paulo,20100222,Canon,1500
HL1024,02,Sao Paulo,20100222,Acer,2400
HL1018,03,Sao Paulo,20100222,Xiaomi,1200
HL1018,02,Guarulhos,20100222,Xiaomi,1200
HL1024,04,Recife,20100222,Acer,2400
HL1005,04,Rio de Janeiro,20100223,Canon,1500
HL1008,02,Recife,20100223,Philco,2000
HL1009,01,Sao Paulo,20100223,Motorola,1400
HL1013,03,Fortaleza,20100224,Nikon,1550
HL1020,03,Sao Paulo,20100224,Motorola,1500
HL1024,02,Rio de Janeiro,20100224,Acer,2400
HL1013,04,Belo Horizonte,20100224,Nikon,1550
HL1015,05,Rio de Janeiro,20100224,Sony,700
HL1008,05,Campinas,20100224,Philco,2000
HL1009,04,Sao Paulo,20100224,Motorola,1400
HL1005,03,Belo Horizonte,20100224,Canon,1500
HL1013,01,Rio de Janeiro,20100224,Nikon,1550
HL1015,03,Salvador,20100225,Sony,700
HL1013,05,Sao Paulo,20100225,Nikon,1550
HL1008,04,Fortaleza,20100225,Philco,2000
HL1008,01,Recife,20100225,Philco,2000
HL1008,05,Sao Paulo,20100225,Philco,2000
HL1007,04,Sao Paulo,20100226,Dell,2300
HL1012,01,Salvador,20100226,Dell,5500
HL1013,05,Sao Paulo,20100226,Nikon,1550
HL1015,01,Rio de Janeiro,20100226,Sony,700
HL1005,04,Curitiba,20100226,Canon,1500
HL1008,05,Sao Paulo,20100226,Philco,2000
HL1013,04,Porto Alegre,20100226,Nikon,1550
HL1013,05,Curitiba,20100227,Nikon,1550
HL1013,02,Fortaleza,20100227,Nikon,1550
HL1005,03,Sao Paulo,20100227,Canon,1500
HL1024,04,Sao Paulo,20100227,Acer,2400
HL1005,04,Nova Iguacu,20100228,Canon,1500
HL1005,01,Fortaleza,20100228,Canon,1500
HL1015,04,Sao Paulo,20100228,Sony,700
HL1007,05,Fortaleza,20100228,Dell,2300
HL1018,01,Fortaleza,20100228,Xiaomi,1200
HL1020,04,Sao Paulo,20100228,Motorola,1500
HL1005,03,Porto Alegre,20100228,Canon,1500
HL1007,02,Rio de Janeiro,20100228,Dell,2300
HL1005,04,Sao Paulo,20100301,Canon,1500
HL1009,05,Sao Paulo,20100301,Motorola,1400
HL1018,04,Goiania,20100301,Xiaomi,1200
HL1008,05,Rio de Janeiro,20100301,Philco,2000
HL1024,02,Fortaleza,20100301,Acer,2400
HL1018,05,Curitiba,20100301,Xiaomi,1200
HL1007,04,Fortaleza,20100301,Dell,2300
HL1007,02,Porto Alegre,20100302,Dell,2300
HL1015,04,Curitiba,20100302,Sony,700
HL1007,05,Recife,20100302,Dell,2300
HL1007,04,Fortaleza,20100302,Dell,2300
HL1024,05,Campinas,20100302,Acer,2400
HL1009,02,Sao Paulo,20100303,Motorola,1400
HL1009,05,Salvador,20100303,Motorola,1400
HL1007,01,Rio de Janeiro,20100303,Dell,2300
HL1012,01,Salvador,20100303,Dell,5500
HL1009,05,Rio de Janeiro,20100303,Motorola,1400
HL1005,04,Salvador,20100303,Canon,1500
HL1005,04,Campinas,20100303,Canon,1500
HL1024,04,Niteroi,20100303,Acer,2400
HL1024,02,Sao Paulo,20100303,Acer,2400
HL1009,05,Goiania,20100304,Motorola,1400
HL1007,04,Sao Paulo,20100304,Dell,2300
HL1018,01,Salvador,20100304,Xiaomi,1200
HL1012,02,Sao Paulo,20100304,Dell,5500
HL1020,04,Rio de Janeiro,20100304,Motorola,1500
HL1008,01,Guarulhos,20100305,Philco,2000
HL1009,04,Salvador,20100305,Motorola,1400
HL1024,01,Rio de Janeiro,20100305,Acer,2400
HL1013,05,Sao Paulo,20100305,Nikon,1550
HL1015,03,Salvador,20100305,Sony,700
HL1008,04,Rio de Janeiro,20100305,Philco,2000
HL1015,05,Rio de Janeiro,20100305,Sony,700
HL1005,04,Sao Paulo,20100305,Canon,1500
HL1020,02,Niteroi,20100305,Motorola,1500
HL1018,04,Rio de Janeiro,20100306,Xiaomi,1200
HL1015,02,Fortaleza,20100306,Sony,700
HL1009,03,Sao Paulo,20100306,Motorola,1400
HL1005,03,Belo Horizonte,20100306,Canon,1500
HL1005,02,Porto Alegre,20100306,Canon,1500
HL1008,01,Sao Paulo,20100306,Philco,2000
HL1018,03,Recife,20100306,Xiaomi,1200
HL1015,02,Fortaleza,20100306,Sony,700
HL1015,02,Fortaleza,20100306,Sony,700
HL1018,05,Salvador,20100307,Xiaomi,1200
HL1005,01,Porto Alegre,20100307,Canon,1500
HL1009,04,Goiania,20100307,Motorola,1400
HL1018,02,Salvador,20100307,Xiaomi,1200
HL1008,01,Sao Paulo,20100307,Philco,2000
HL1018,03,Rio de Janeiro,20100307,Xiaomi,1200
HL1009,04,Goiania,20100308,Motorola,1400
HL1007,01,Sao Paulo,20100308,Dell,2300
HL1008,01,Recife,20100308,Philco,2000
HL1015,04,Goiania,20100309,Sony,700
HL1009,05,Campinas,20100309,Motorola,1400
HL1007,05,Sao Paulo,20100309,Dell,2300
HL1007,03,Fortaleza,20100309,Dell,2300
HL1009,02,Sao Paulo,20100309,Motorola,1400
HL1005,04,Sao Paulo,20100309,Canon,1500
HL1015,01,Sao Paulo,20100309,Sony,700
HL1015,01,Fortaleza,20100310,Sony,700
HL1008,05,Rio de Janeiro,20100310,Philco,2000
HL1020,01,Curitiba,20100310,Motorola,1500
HL1024,03,Fortaleza,20100310,Acer,2400
HL1024,04,Salvador,20100310,Acer,2400
HL1005,04,Porto Alegre,20100310,Canon,1500
HL1005,04,Rio de Janeiro,20100311,Canon,1500
HL1015,01,Goiania,20100311,Sony,700
HL1024,03,Salvador,20100311,Acer,2400
HL1015,04,Porto Alegre,20100311,Sony,700
HL1013,05,Rio de Janeiro,20100311,Nikon,1550
HL1008,03,Belo Horizonte,20100312,Philco,2000
HL1020,04,Rio de Janeiro,20100312,Motorola,1500
HL1018,05,Campinas,20100312,Xiaomi,1200
HL1013,04,Salvador,20100312,Nikon,1550
HL1009,05,Porto Alegre,20100313,Motorola,1400
HL1007,04,Sao Paulo,20100313,Dell,2300
HL1005,04,Recife,20100313,Canon,1500
HL1005,05,Sao Paulo,20100314,Canon,1500
HL1008,01,Fortaleza,20100314,Philco,2000
HL1007,01,Porto Alegre,20100314,Dell,2300
HL1015,05,Sao Paulo,20100314,Sony,700
HL1007,01,Rio de Janeiro,20100314,Dell,2300
HL1015,03,Recife,20100314,Sony,700
HL1012,05,Porto Alegre,20100315,Dell,5500
HL1007,03,Guarulhos,20100315,Dell,2300
HL1008,05,Campinas,20100315,Philco,2000
HL1008,04,Curitiba,20100315,Philco,2000
HL1005,01,Curitiba,20100316,Canon,1500
HL1015,03,Rio de Janeiro,20100316,Sony,700
HL1009,02,Rio de Janeiro,20100317,Motorola,1400
HL1005,03,Rio de Janeiro,20100317,Canon,1500
HL1024,03,Fortaleza,20100317,Acer,2400
HL1015,05,Curitiba,20100317,Sony,700
HL1015,02,Recife,20100317,Sony,700
HL1005,02,Recife,20100317,Canon,1500
HL1015,05,Porto Alegre,20100317,Sony,700
HL1009,02,Goiania,20100317,Motorola,1400
HL1005,03,Rio de Janeiro,20100317,Canon,1500
HL1009,03,Rio de Janeiro,20100318,Motorola,1400
HL1015,04,Sao Paulo,20100318,Sony,700
HL1008,05,Fortaleza,20100318,Philco,2000
HL1007,03,Guarulhos,20100318,Dell,2300
HL1012,03,Fortaleza,20100318,Dell,5500
HL1007,01,Rio de Janeiro,20100318,Dell,2300
HL1008,05,Salvador,20100318,Philco,2000
HL1005,03,Sao Paulo,20100318,Canon,1500
HL1015,05,Nova Iguacu,20100318,Sony,700
HL1007,04,Curitiba,20100318,Dell,2300
HL1009,03,Campinas,20100318,Motorola,1400
HL1020,02,Curitiba,20100318,Motorola,1500
HL1015,02,Sao Paulo,20100318,Sony,700
HL1015,04,Sao Paulo,20100318,Sony,700
HL1007,02,Rio de Janeiro,20100319,Dell,2300
HL1008,03,Recife,20100319,Philco,2000
HL1009,04,Recife,20100319,Motorola,1400
HL1015,04,Sao Paulo,20100319,Sony,700
HL1015,05,Goiania,20100319,Sony,700
HL1007,02,Belo Horizonte,20100319,Dell,2300
HL1008,04,Belo Horizonte,20100319,Philco,2000
HL1024,01,Sao Paulo,20100320,Acer,2400
HL1008,05,Curitiba,20100320,Philco,2000
HL1018,03,Salvador,20100320,Xiaomi,1200
HL1024,03,Campinas,20100320,Acer,2400
HL1018,03,Belo Horizonte,20100320,Xiaomi,1200
HL1005,05,Nova Iguacu,20100320,Canon,1500
HL1018,02,Salvador,20100320,Xiaomi,1200
HL1007,04,Sao Paulo,20100320,Dell,2300
HL1008,04,Salvador,20100321,Philco,2000
HL1020,02,Porto Alegre,20100321,Motorola,1500
HL1009,01,Guarulhos,20100321,Motorola,1400
HL1009,03,Sao Paulo,20100321,Motorola,1400
HL1008,05,Sao Paulo,20100321,Philco,2000
HL1005,02,Sao Paulo,20100321,Canon,1500
HL1013,05,Sao Paulo,20100321,Nikon,1550
HL1018,05,Goiania,20100321,Xiaomi,1200
HL1018,03,Sao Paulo,20100321,Xiaomi,1200
HL1007,05,Salvador,20100321,Dell,2300
HL1009,02,Recife,20100322,Motorola,1400
HL1008,04,Nova Iguacu,20100322,Philco,2000
HL1005,03,Porto Alegre,20100323,Canon,1500
HL1007,01,Campinas,20100323,Dell,2300
HL1007,04,Sao Paulo,20100323,Dell,2300
HL1020,03,Sao Paulo,20100323,Motorola,1500
HL1007,02,Belo Horizonte,20100324,Dell,2300
HL1009,04,Sao Paulo,20100324,Motorola,1400
HL1007,03,Fortaleza,20100324,Dell,2300
HL1007,02,Rio de Janeiro,20100324,Dell,2300
HL1007,02,Rio de Janeiro,20100324,Dell,2300
HL1008,05,Belo Horizonte,20100324,Philco,2000
HL1018,04,Rio de Janeiro,20100324,Xiaomi,1200
HL1013,02,Belo Horizonte,20100324,Nikon,1550
HL1018,05,Sao Paulo,20100324,Xiaomi,1200
HL1013,01,Sao Paulo,20100324,Nikon,1550
HL1008,04,Recife,20100324,Philco,2000
HL1015,04,Nova Iguacu,20100325,Sony,700
HL1012,02,Rio de Janeiro,20100326,Dell,5500
HL1007,01,Guarulhos,20100326,Dell,2300
HL1015,01,Porto Alegre,20100326,Sony,700
HL1015,03,Salvador,20100327,Sony,700
HL1015,02,Sao Paulo,20100327,Sony,700
HL1020,04,Sao Paulo,20100327,Motorola,1500
HL1007,02,Recife,20100327,Dell,2300
HL1018,05,Sao Paulo,20100327,Xiaomi,1200
HL1007,02,Fortaleza,20100327,Dell,2300
HL1013,01,Belo Horizonte,20100327,Nikon,1550
HL1007,04,Goiania,20100328,Dell,2300
HL1013,03,Campinas,20100328,Nikon,1550
HL1012,03,Sao Paulo,20100328,Dell,5500
HL1007,02,Porto Alegre,20100328,Dell,2300
HL1020,04,Sao Paulo,20100328,Motorola,1500
HL1012,02,Curitiba,20100328,Dell,5500
HL1007,04,Sao Paulo,20100328,Dell,2300
HL1012,05,Salvador,20100328,Dell,5500
HL1015,01,Curitiba,20100328,Sony,700
HL1020,05,Sao Paulo,20100329,Motorola,1500
HL1005,02,Campinas,20100329,Canon,1500
HL1009,04,Campinas,20100329,Motorola,1400
HL1005,05,Sao Paulo,20100329,Canon,1500
HL1008,01,Campinas,20100329,Philco,2000
HL1015,02,Curitiba,20100329,Sony,700
HL1015,01,Rio de Janeiro,20100329,Sony,700
HL1009,04,Salvador,20100329,Motorola,1400
HL1009,02,Sao Paulo,20100330,Motorola,1400
HL1012,05,Recife,20100330,Dell,5500
HL1008,03,Sao Paulo,20100330,Philco,2000
HL1008,01,Belo Horizonte,20100330,Philco,2000
HL1013,01,Guarulhos,20100330,Nikon,1550
HL1008,02,Salvador,20100330,Philco,2000
HL1020,05,Fortaleza,20100330,Motorola,1500
HL1015,02,Campinas,20100331,Sony,700
HL1018,05,Porto Alegre,20100331,Xiaomi,1200
HL1015,04,Sao Paulo,20100331,Sony,700
HL1009,01,Salvador,20100401,Motorola,1400
HL1008,03,Sao Paulo,20100401,Philco,2000
HL1008,01,Rio de Janeiro,20100401,Philco,2000
HL1018,04,Goiania,20100401,Xiaomi,1200
HL1013,04,Sao Paulo,20100402,Nikon,1550
HL1007,01,Nova Iguacu,20100402,Dell,2300
HL1009,01,Porto Alegre,20100402,Motorola,1400
HL1020,01,Rio de Janeiro,20100402,Motorola,1500
HL1015,04,Sao Paulo,20100402,Sony,700
HL1015,03,Belo Horizonte,20100402,Sony,700
HL1005,05,Rio de Janeiro,20100402,Canon,1500
HL1009,01,Rio de Janeiro,20100402,Motorola,1400
HL1009,04,Salvador,20100402,Motorola,1400
HL1008,05,Sao Paulo,20100402,Philco,2000
HL1012,01,Rio de Janeiro,20100402,Dell,5500
